revision;file;nodeIdentifier1;nodeIdentifier2
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_1b24a_2a20c/rev_1b24a-2a20c.revisions;/src/java/org/apache/cassandra/db/ColumnFamilyStore.java;public String getFlushPath(long estimatedSize, String version)    ;public String getFlushPath(long estimatedSize, String version)    
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_1b24a_2a20c/rev_1b24a-2a20c.revisions;/src/java/org/apache/cassandra/db/ColumnFamilyStore.java;public SSTableWriter createFlushWriter(long estimatedRows, long estimatedSize) throws IOException    ;public SSTableWriter createFlushWriter(long estimatedRows, long estimatedSize) throws IOException    
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_1b24a_21ee7/rev_1b24a-21ee7.revisions;/src/java/org/apache/cassandra/db/ColumnFamilyStore.java;public String getFlushPath(long estimatedSize, String version)    ;public String getFlushPath(long estimatedSize, String version)    
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_1b24a_21ee7/rev_1b24a-21ee7.revisions;/src/java/org/apache/cassandra/db/ColumnFamilyStore.java;public SSTableWriter createFlushWriter(long estimatedRows, long estimatedSize) throws IOException    ;public SSTableWriter createFlushWriter(long estimatedRows, long estimatedSize) throws IOException    
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_1b433_a6994/rev_1b433-a6994.revisions;/projects/OG-Core/src/main/java/com/opengamma/core/obligor/Sector.java;1451876589890;;  // TODO: Extend this list to include a comprehensive list of sector classifications (ICB classification) /**  * Attempt to lookup a sector from a string that may contain spaces, different  * capitalisation etc. If not found, null will be returned.  *  * @param alias the alias to find a Sector by  * @return the matching Sector if found, null otherwise  */ public static Sector from(String alias) 
/home/ines/gjcc/fpfnanalysis/samplerpl/java_gradle/revisions/rev_1cbca_96ba2/rev_1cbca-96ba2.revisions;/subprojects/gradle-ui/src/main/java/org/gradle/gradleplugin/userinterface/swing/generic/AbstractGradleUIInstance.java;public void setCustomPanelToSetupTab( JComponent component ) ;public void setCustomPanelToSetupTab( JComponent component ) 
/home/ines/gjcc/fpfnanalysis/samplerpl/java_gradle/revisions/rev_1cbca_96ba2/rev_1cbca-96ba2.revisions;/subprojects/gradle-ui/src/main/java/org/gradle/gradleplugin/userinterface/swing/generic/AbstractGradleUIInstance.java;public void setOutputTextFont( Font font ) ;public void setOutputTextFont( Font font ) 
/home/ines/gjcc/fpfnanalysis/samplerpl/java_gradle/revisions/rev_1cbca_96ba2/rev_1cbca-96ba2.revisions;/subprojects/gradle-open-api/src/main/groovy/org/gradle/openapi/external/ui/BasicGradleUIVersion1.java;public OutputUILordVersion1 getOutputLord();public OutputUILordVersion1 getOutputLord()
/home/ines/gjcc/fpfnanalysis/samplerpl/java_gradle/revisions/rev_1cbca_96ba2/rev_1cbca-96ba2.revisions;/subprojects/gradle-ui/src/main/java/org/gradle/gradleplugin/userinterface/swing/generic/OutputPanelLord.java;private AlternateUIInteraction alternateUIInteraction;private AlternateUIInteraction alternateUIInteraction
/home/ines/gjcc/fpfnanalysis/samplerpl/java_gradle/revisions/rev_1cbca_96ba2/rev_1cbca-96ba2.revisions;/subprojects/gradle-ui/src/main/java/org/gradle/gradleplugin/userinterface/swing/generic/OutputPanelLord.java;private Font font;private Font font
