revision;file;methodsignature;leftbody;basebody;rightbody
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_1e5f9_a143d/rev_1e5f9-a143d;/src/java/org/apache/cassandra/service/StorageService;joinTokenRing();            SystemTable.setBootstrapped(true); // first startup is only chance to bootstrap
            setToken(token);
        };        } 

        SystemTable.setBootstrapped(true); // first startup is only chance to bootstrap
        setToken(token);;        } 

        SystemTable.setBootstrapped(true); // first startup is only chance to bootstrap
        setToken(token);
/home/ines/gjcc/fpfnanalysis/samplerpl/java_lucenesolr/revisions/rev_1f4c6_23c62/rev_1f4c6-23c62;/lucene/src/java/org/apache/lucene/index/IndexWriter;addIndexes(IndexReader);        ;        info.setUseCompoundFile(true);
        ;        info.setUseCompoundFile(true);
/home/ines/gjcc/fpfnanalysis/samplerpl/java_jedis/revisions/rev_2d04a_68356/rev_2d04a-68356;/src/main/java/redis/clients/jedis/Jedis;blpop(String);public List<String> blpop(String... args) {
	client.blpop(args);
	client.setTimeoutInfinite();
	final List<String> multiBulkReply = client.getMultiBulkReply();
	client.rollbackTimeout();
	return multiBulkReply;;public List<String> blpop(String... args) {
        client.blpop(args);
        client.setTimeoutInfinite();
        final List<String> multiBulkReply = client.getMultiBulkReply();
        client.rollbackTimeout();
        return multiBulkReply;;public List<String> blpop(String arg) {
        String[] args = new String[1];
        args[0] = arg;
        client.blpop(args);
        client.setTimeoutInfinite();
        final List<String> multiBulkReply = client.getMultiBulkReply();
        client.rollbackTimeout();
        return multiBulkReply;
/home/ines/gjcc/fpfnanalysis/samplerpl/java_jedis/revisions/rev_2d04a_68356/rev_2d04a-68356;/src/main/java/redis/clients/jedis/Jedis;brpop(String);public List<String> brpop(String... args) {
	client.brpop(args);
	client.setTimeoutInfinite();
	final List<String> multiBulkReply = client.getMultiBulkReply();
	client.rollbackTimeout();
	return multiBulkReply;;public List<String> brpop(String... args) {
        client.brpop(args);
        client.setTimeoutInfinite();
        final List<String> multiBulkReply = client.getMultiBulkReply();
        client.rollbackTimeout();
        return multiBulkReply;;public List<String> brpop(String arg) {
        String[] args = new String[1];
        args[0] = arg;
        client.brpop(args);
        client.setTimeoutInfinite();
