revision;file;methodSignature
/home/ines/gjcc/fpfnanalysis/samplerpl/java_orientdb/revisions/rev_0ccab_f0f20/rev_0ccab-f0f20;/core/src/main/java/com/orientechnologies/orient/core/storage/impl/local/OStorageLocalTxExecuter;commitEntry(OTransaction,ORecordOperation,boolean);private void commitEntry(final OTransaction iTx, final ORecordOperation txEntry, final boolean iUseLog) throws IOException {
/home/ines/gjcc/fpfnanalysis/samplerpl/java_orientdb/revisions/rev_0ccab_f0f20/rev_0ccab-f0f20;/core/src/main/java/com/orientechnologies/orient/core/storage/impl/memory/OStorageMemory;commitEntry(OTransaction,ORecordOperation);private void commitEntry(final OTransaction iTx, final ORecordOperation txEntry) throws IOException {
/home/ines/gjcc/fpfnanalysis/samplerpl/java_orientdb/revisions/rev_0ccab_f0f20/rev_0ccab-f0f20;/core/src/main/java/com/orientechnologies/orient/core/storage/impl/local/paginated/OLocalPaginatedStorage;commitEntry(OTransaction,ORecordOperation);private void commitEntry(final OTransaction clientTx, final ORecordOperation txEntry) throws IOException {
/home/ines/gjcc/fpfnanalysis/samplerpl/java_orientdb/revisions/rev_0ccab_f0f20/rev_0ccab-f0f20;/server/src/main/java/com/orientechnologies/orient/server/network/protocol/binary/OBinaryNetworkProtocolAbstract;updateRecord(ODatabaseRecord,ORecordId,byte[],ORecordVersion,byte);
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_0d805_3d5a5/rev_0d805-3d5a5;/src/java/org/apache/cassandra/db/DataTracker;removeAllSSTables();public void removeAllSSTables()    {
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_0e4f3_7441b/rev_0e4f3-7441b;/projects/OG-Analytics/src/test/java/com/opengamma/analytics/financial/curve/CurveConstructionXCcyTest;curveSensitivity();@Test(enabled = true)  public void curveSensitivity() {
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_0e4f3_7441b/rev_0e4f3-7441b;/projects/OG-Analytics/src/main/java/com/opengamma/analytics/financial/instrument/payment/CouponIborCompoundedDefinition;toDerivative(ZonedDateTime,String);@Override  public CouponIborCompounded toDerivative(final ZonedDateTime dateTime, final String... yieldCurveNames) {
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_0e4f3_7441b/rev_0e4f3-7441b;/projects/OG-Analytics/src/test/java/com/opengamma/analytics/financial/interestrate/swaption/method/SwaptionPhysicalFixedIborG2ppMethodTest;approximationNumericalIntegrationGrid();@Test(enabled = false)  /**   * Test the present value by approximation vs by numerical integration for a grid of expiry/tenor.   */  public void approximationNumericalIntegrationGrid() {
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_0e4f3_7441b/rev_0e4f3-7441b;/projects/OG-Analytics/src/test/java/com/opengamma/analytics/financial/interestrate/market/description/MarketDiscountDataSets;createMarket1(ZonedDateTime);public static MarketDiscountBundle createMarket1(ZonedDateTime pricingDate) {
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_0e4f3_7441b/rev_0e4f3-7441b;/projects/OG-Analytics/src/main/java/com/opengamma/analytics/financial/instrument/bond/BondFixedSecurityDefinition;from(Currency,ZonedDateTime,ZonedDateTime,Period,double,int,Calendar,DayCount,BusinessDayConvention,YieldConvention,boolean);public static BondFixedSecurityDefinition from(final Currency currency, final ZonedDateTime maturityDate, final ZonedDateTime firstAccrualDate,      final Period paymentPeriod, final double rate, final int settlementDays, final Calendar calendar, final DayCount dayCount, final BusinessDayConvention businessDay,      final YieldConvention yieldConvention, final boolean isEOM) {
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_0e4f3_7441b/rev_0e4f3-7441b;/projects/OG-Analytics/src/test/java/com/opengamma/analytics/financial/interestrate/bond/method/BondCapitalIndexedSecurityDiscountingMethodTest;presentValueFromCleanPriceRealTips1();@Test  /**   * Tests the present value computation.   */  public void presentValueFromCleanPriceRealTips1() {
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_0e021_88ae2/rev_0e021-88ae2;/src/java/org/apache/cassandra/cql3/statements/SelectStatement;addToSchema(CqlMetadata,Pair<CFDefinition.Name,Selector>);private void addToSchema(CqlMetadata schema, Pair<CFDefinition.Name, Selector> p)    {
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_0e021_88ae2/rev_0e021-88ae2;/src/java/org/apache/cassandra/cql3/QueryProcessor;prepare(String,ClientState);public static CqlPreparedResult prepare(String queryString, ClientState clientState)    throws RecognitionException, InvalidRequestException    {
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_0e98f_c6dbb/rev_0e98f-c6dbb;/src/java/org/apache/cassandra/db/marshal/CompositeType;intersects(List<ByteBuffer>,List<ByteBuffer>,SliceQueryFilter);@Override    public boolean intersects(List<ByteBuffer> minColumnNames, List<ByteBuffer> maxColumnNames, SliceQueryFilter filter)    {
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_0feb5_57f1a/rev_0feb5-57f1a;/src/java/org/apache/cassandra/db/SystemTable;saveTruncationRecord(ColumnFamilyStore,long,ReplayPosition);public static void saveTruncationRecord(ColumnFamilyStore cfs, long truncatedAt, ReplayPosition position)    {
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_01bc5_d394a/rev_01bc5-d394a;/src/java/org/apache/cassandra/io/sstable/SSTableReader;getScanner(Range<Token>);
/home/ines/gjcc/fpfnanalysis/samplerpl/java_voldemort/revisions/rev_01fad_566b4/rev_01fad-566b4;/src/java/voldemort/store/rebalancing/RedirectingStore;proxyGetAllAndLocalPut(List<ByteArray>,List<RebalancePartitionsInfo>);private Map<ByteArray, List<Versioned<byte[]>>> proxyGetAllAndLocalPut(List<ByteArray> keys,                                                                           List<RebalancePartitionsInfo> stealInfoList)            throws VoldemortException {
/home/ines/gjcc/fpfnanalysis/samplerpl/java_voldemort/revisions/rev_01fad_566b4/rev_01fad-566b4;/test/unit/voldemort/store/rebalancing/RedirectingStoreTest;checkGetAllEntries(Map<ByteArray,byte[]>,VoldemortServer,Store<ByteArray,byte[]>,List<Integer>);private void checkGetAllEntries(Map<ByteArray, byte[]> entryMap,                                    VoldemortServer server,                                    Store<ByteArray, byte[]> store,                                    List<Integer> availablePartition) {
/home/ines/gjcc/fpfnanalysis/samplerpl/java_voldemort/revisions/rev_01fad_566b4/rev_01fad-566b4;/src/java/voldemort/server/storage/StorageService;getStorageEngine(String,String);
