revision;possibleRenamings;renamingsDueToIdentation
/home/ines/gjcc/fpfnanalysis/samplerpl/java_orientdb/revisions/rev_0ccab_f0f20/rev_0ccab-f0f20.revisions;4;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_orientdb/revisions/rev_0ce52_40f59/rev_0ce52-40f59.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_0d241_1c2a6/rev_0d241-1c2a6.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_0d441_780cc/rev_0d441-780cc.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_0d805_3d5a5/rev_0d805-3d5a5.revisions;1;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_netty/rev_0daf3_16a40/rev_0daf3-16a40.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_0dd39_5c0dd/rev_0dd39-5c0dd.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_0e4f3_7441b/rev_0e4f3-7441b.revisions;7;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_0e18f_ab31b/rev_0e18f-ab31b.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_0e021_88ae2/rev_0e021-88ae2.revisions;3;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_0e079_b519b/rev_0e079-b519b.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_0e98f_c6dbb/rev_0e98f-c6dbb.revisions;1;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_mct/revisions/rev_0e810_38ebd/rev_0e810-38ebd.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_0e831_3e305/rev_0e831-3e305.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_0ed73_44f02/rev_0ed73-44f02.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_0edd5_59a8e/rev_0edd5-59a8e.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_0f1fb_8b0e1/rev_0f1fb-8b0e1.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_0f705_de955/rev_0f705-de955.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_0fce7_2bb30/rev_0fce7-2bb30.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_0feb5_57f1a/rev_0feb5-57f1a.revisions;1;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_0ffdc_3a103/rev_0ffdc-3a103.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_0ffdc_39cee/rev_0ffdc-39cee.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_01bc5_d394a/rev_01bc5-d394a.revisions;1;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_01d4f_68fa8/rev_01d4f-68fa8.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_openrefine/revisions/rev_01de9_fef77/rev_01de9-fef77.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_voldemort/revisions/rev_01fad_566b4/rev_01fad-566b4.revisions;11;3
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_01fcb_34746/rev_01fcb-34746.revisions;0;0
